kum	 verb-pres 	kum	Intransitive:    (archaic) To die ; Compare 'gum
bsgrub	 verb-fut 	sgrub	Transitive:  Voluntary:   To complete, finish, carry out, accomplish ; To carry out; to accomplish; to perform ; 1. To do an action. 2. To judge the truth, having presented arguments and scriptural citations. 3. To take on the means of religion ; 1. To attain, to do, to perform, to carry out, to execute. 2. To procure, to gain to acquire through effort. 3. (logic) To prove, to affirm, to establish, to establish a proof. 4. (math) To calculate, to find the value of, to make. 5. To attain, to practice religion, to perfect ;
sgre	 verb-pres 	sgre	Transitive:  Voluntary:   To repeat; to put or place in order; put together; collate ; To yoke; to apply the same method ;1. To compare a known situation in order to know a similar situation. 2. To churn something inside a liquid (such as water) ; To collate, to juxtapose, to assimilate ;
bsgres	 verb-past 	sgre	Transitive:  Voluntary:   To repeat; to put or place in order; put together; collate ; To yoke; to apply the same method ;1. To compare a known situation in order to know a similar situation. 2. To churn something inside a liquid (such as water) ; To collate, to juxtapose, to assimilate ;
bsgre	 verb-fut 	sgre	Transitive:  Voluntary:   To repeat; to put or place in order; put together; collate ; To yoke; to apply the same method ;1. To compare a known situation in order to know a similar situation. 2. To churn something inside a liquid (such as water) ; To collate, to juxtapose, to assimilate ;
sgreg	 verb-pres 	sgreg	   To belch ;
sgregs	 verb-past 	sgreg	   To belch ;
	 verb-fut 	sgreg	   To belch ;
sgreng	 verb-pres 	sgreng	Transitive:  Voluntary:   To lift, hoist, rise up ; To make stand up, to make erect ; To erect, to raise up, to hoist ;
bsgrengs	 verb-past 	sgreng	Transitive:  Voluntary:   To lift, hoist, rise up ; To make stand up, to make erect ; To erect, to raise up, to hoist ;
bsgreng	 verb-fut 	sgreng	Transitive:  Voluntary:   To lift, hoist, rise up ; To make stand up, to make erect ; To erect, to raise up, to hoist ;
sgro	 verb-pres 	sgro	Transitive:  Voluntary:   To debate, discuss, chatter freely ; 1. ;
bsgros	 verb-past 	sgro	Transitive:  Voluntary:   To debate, discuss, chatter freely ; 1. ;
bsgro	 verb-fut 	sgro	Transitive:  Voluntary:   To debate, discuss, chatter freely ; 1. ;
sgrog	 verb-pres 	sgrog	Transitive:  Voluntary:   To call, shout forth, publish, proclaim, declare ; To read; to announce; to declare; to proclaim, promulgate ; 1. To make a large noise. 2. To make known to all by speaking from the mouth or presenting in presting ; To call out, to shout out, to roar, to proclaim, to read aloud ;
bsgrags	 verb-past 	sgrog	Transitive:  Voluntary:   To call, shout forth, publish, proclaim, declare ; To read; to announce; to declare; to proclaim, promulgate ; 1. To make a large noise. 2. To make known to all by speaking from the mouth or presenting in presting ; To call out, to shout out, to roar, to proclaim, to read aloud ;
bsgrag	 verb-fut 	sgrog	Transitive:  Voluntary:   To call, shout forth, publish, proclaim, declare ; To read; to announce; to declare; to proclaim, promulgate ; 1. To make a large noise. 2. To make known to all by speaking from the mouth or presenting in presting ; To call out, to shout out, to roar, to proclaim, to read aloud ;
sgrog	 verb-pres 	sgrog	Transitive:  Voluntary:   To mend; to re-stitch ; To bind with a rope &c. the feet and hands of men and cattle ; 1. To sew, to stitch. 2. To tie, to fasten, to attach ;
bsgrogs	 verb-past 	sgrog	Transitive:  Voluntary:   To mend; to re-stitch ; To bind with a rope &c. the feet and hands of men and cattle ; 1. To sew, to stitch. 2. To tie, to fasten, to attach ;
bsgrog	 verb-fut 	sgrog	Transitive:  Voluntary:   To mend; to re-stitch ; To bind with a rope &c. the feet and hands of men and cattle ; 1. To sew, to stitch. 2. To tie, to fasten, to attach ;
sgrong	 verb-pres 	sgrong	Transitive: Voluntary:   To enumerate; to reckon up separately ; To make someone count ; To count, calculate, find out by working with numbers ;  To deem, to consider, to estimate, to count ;
bsgrangs	 verb-past 	sgrong	Transitive: Voluntary:   To enumerate; to reckon up separately ; To make someone count ; To count, calculate, find out by working with numbers ;  To deem, to consider, to estimate, to count ;
bsgrang	 verb-fut 	sgrong	Transitive: Voluntary:   To enumerate; to reckon up separately ; To make someone count ; To count, calculate, find out by working with numbers ;  To deem, to consider, to estimate, to count ;
sgrod	 verb-pres 	sgrod	Transitive: Voluntary:   (rare) To go ; (in some ;To engage in sexual intercourse ;
bsgrod	 verb-past 	sgrod	Transitive: Voluntary:   (rare) To go ; (in some ;To engage in sexual intercourse ;
bsgrod	 verb-fut 	sgrod	Transitive: Voluntary:   (rare) To go ; (in some ;To engage in sexual intercourse ;
sgron	 verb-pres 	sgron	Transitive:  Voluntary:   To cover, lay over, adorn, decorate; to light, kindle ; To cause to wear or put on ; 1. To set on fire. 2. (honorific) To ornament with ornaments, have wear attire ; 1. (honorific) To offer. 2. (honorific) To wear. 3. (honorific) To report. 4. (honorific) To lay out, to set out. 5. To light a fire, to kindle, to ignite, to set fire to ;
bsgron	 verb-past 	sgron	Transitive:  Voluntary:   To cover, lay over, adorn, decorate; to light, kindle ; To cause to wear or put on ; 1. To set on fire. 2. (honorific) To ornament with ornaments, have wear attire ; 1. (honorific) To offer. 2. (honorific) To wear. 3. (honorific) To report. 4. (honorific) To lay out, to set out. 5. To light a fire, to kindle, to ignite, to set fire to ;
bsgron	 verb-fut 	sgron	Transitive:  Voluntary:   To cover, lay over, adorn, decorate; to light, kindle ; To cause to wear or put on ; 1. To set on fire. 2. (honorific) To ornament with ornaments, have wear attire ; 1. (honorific) To offer. 2. (honorific) To wear. 3. (honorific) To report. 4. (honorific) To lay out, to set out. 5. To light a fire, to kindle, to ignite, to set fire to ;
sgrol	 verb-pres 	sgrol	Transitive:  Voluntary:   To save, rescue, deliver; to set free; to liberate ; To save, rescue; to set free; to liberate ;1. To set free from (fear &c.). 2. To sentence to death ; To liberate, to free, to deliver, to release, to cross over ;
bsgral	 verb-past 	sgrol	Transitive:  Voluntary:   To save, rescue, deliver; to set free; to liberate ; To save, rescue; to set free; to liberate ;1. To set free from (fear &c.). 2. To sentence to death ; To liberate, to free, to deliver, to release, to cross over ;
bsgral	 verb-fut 	sgrol	Transitive:  Voluntary:   To save, rescue, deliver; to set free; to liberate ; To save, rescue; to set free; to liberate ;1. To set free from (fear &c.). 2. To sentence to death ; To liberate, to free, to deliver, to release, to cross over ;
brgyags	 verb-pres 	brgyags	Intransitive:    1. To be satisfied with food and drink. 2. (of bodily flesh) To be fatty, corpulent ; Compare rgyags
Past: 	 verb-past 	brgyags	Intransitive:    1. To be satisfied with food and drink. 2. (of bodily flesh) To be fatty, corpulent ; Compare rgyags
Future: 	 verb-fut 	brgyags	Intransitive:    1. To be satisfied with food and drink. 2. (of bodily flesh) To be fatty, corpulent ; Compare rgyags
brgyal	 verb-pres 	brgyal	Intransitive:  Involuntary:   1. To fall down senseless; to lie senseless, to sink down unconscious, to faint. 2. To howl, of a fox (Sch.) ; To become unconscious; to faint; to become weary; to tire ; To become unconscious; to faint; to become weary; to tire ; To faint, to become unconscious ;
brgyal(d)	 verb-past 	brgyal	Intransitive:  Involuntary:   1. To fall down senseless; to lie senseless, to sink down unconscious, to faint. 2. To howl, of a fox (Sch.) ; To become unconscious; to faint; to become weary; to tire ; To become unconscious; to faint; to become weary; to tire ; To faint, to become unconscious ;
brgyal	 verb-fut 	brgyal	Intransitive:  Involuntary:   1. To fall down senseless; to lie senseless, to sink down unconscious, to faint. 2. To howl, of a fox (Sch.) ; To become unconscious; to faint; to become weary; to tire ; To become unconscious; to faint; to become weary; to tire ; To faint, to become unconscious ;
rgyud	 verb-pres 	brgyud	Transitive:  Involuntary:   To descend; to send, arrive by way of; to do indirectly; to continue without interruption ; 1. (trans.) To pass many stages. 2. (intr.) i. To pass through a place on one's way somewhere else. ii. To transmit consecutively ;To pass through, to conduct, to transmit, to pass down, to hand down, through care of, by way of ;
brgyud	 verb-past 	brgyud	Transitive:  Involuntary:   To descend; to send, arrive by way of; to do indirectly; to continue without interruption ; 1. (trans.) To pass many stages. 2. (intr.) i. To pass through a place on one's way somewhere else. ii. To transmit consecutively ;To pass through, to conduct, to transmit, to pass down, to hand down, through care of, by way of ;
brgyud	 verb-fut 	brgyud	Transitive:  Involuntary:   To descend; to send, arrive by way of; to do indirectly; to continue without interruption ; 1. (trans.) To pass many stages. 2. (intr.) i. To pass through a place on one's way somewhere else. ii. To transmit consecutively ;To pass through, to conduct, to transmit, to pass down, to hand down, through care of, by way of ;
bsgom	 verb-pres 	bsgom	 Voluntary:   A baffling list of principal parts, presumably he has conflated sgom
bgoms	 verb-past 	bsgom	 Voluntary:   A baffling list of principal parts, presumably he has conflated sgom
bgom	 verb-fut 	bsgom	 Voluntary:   A baffling list of principal parts, presumably he has conflated sgom
bsgrang	 verb-pres 	bsgrang	   To cause to get cold ;
	 verb-past 	bsgrang	   To cause to get cold ;
	 verb-fut 	bsgrang	   To cause to get cold ;
sgrad	 verb-pres 	bsgrad	Transitive:  Voluntary:   To open wide ; To cause to open (eyes, mouth &c.) ; To open the eyes wide (alternate orthography of ; 1. To open wide. 2. To set apart, to spread open ;
bsgrad	 verb-past 	bsgrad	Transitive:  Voluntary:   To open wide ; To cause to open (eyes, mouth &c.) ; To open the eyes wide (alternate orthography of ; 1. To open wide. 2. To set apart, to spread open ;
bsgrad	 verb-fut 	bsgrad	Transitive:  Voluntary:   To open wide ; To cause to open (eyes, mouth &c.) ; To open the eyes wide (alternate orthography of ; 1. To open wide. 2. To set apart, to spread open ;
bsgral	 verb-pres 	bsgral	   To pass, cross over ; Perhaps a specialization of sgrol
	 verb-past 	bsgral	   To pass, cross over ; Perhaps a specialization of sgrol
	 verb-fut 	bsgral	   To pass, cross over ; Perhaps a specialization of sgrol
ngar	 verb-pres 	ngar	Intransitive:  Involuntary:   To strengthen the mental power; to be vigorous; to be active ; To become increasingly hot;To be encouraged, to be inspired, to be stimulated, to be excited, to be inflamed ;
ngar(d)	 verb-past 	ngar	Intransitive:  Involuntary:   To strengthen the mental power; to be vigorous; to be active ; To become increasingly hot;To be encouraged, to be inspired, to be stimulated, to be excited, to be inflamed ;
ngar	 verb-fut 	ngar	Intransitive:  Involuntary:   To strengthen the mental power; to be vigorous; to be active ; To become increasingly hot;To be encouraged, to be inspired, to be stimulated, to be excited, to be inflamed ;
ngal	 verb-pres 	ngal	Intransitive:  Involuntary:   To be fatigued, wearied, prostrate with exercise of the body ; To feel tired; to be weary ; To be tired, to be exhausted ;
ngal(d)	 verb-past 	ngal	Intransitive:  Involuntary:   To be fatigued, wearied, prostrate with exercise of the body ; To feel tired; to be weary ; To be tired, to be exhausted ;
ngal	 verb-fut 	ngal	Intransitive:  Involuntary:   To be fatigued, wearied, prostrate with exercise of the body ; To feel tired; to be weary ; To be tired, to be exhausted ;
ngu	 verb-pres 	ngu	Intransitive:  Voluntary:   To cry, weep ; To cry; weep ;1. To shed tears and make a noise of suffering because of pain, illness, or sadness. 2. To make a noise like crying, sobbing ; To weep, to cry;
ngus	 verb-past 	ngu	Intransitive:  Voluntary:   To cry, weep ; To cry; weep ;1. To shed tears and make a noise of suffering because of pain, illness, or sadness. 2. To make a noise like crying, sobbing ; To weep, to cry;
ngu	 verb-fut 	ngu	Intransitive:  Voluntary:   To cry, weep ; To cry; weep ;1. To shed tears and make a noise of suffering because of pain, illness, or sadness. 2. To make a noise like crying, sobbing ; To weep, to cry;
ngur	 verb-pres 	ngur	Intransitive:  Involuntary:   To grunt (of pigs and yaks) ; For a yak or dri to make a sound ; To grunt (used of pigs and cattle) ;
ngur	 verb-past 	ngur	Intransitive:  Involuntary:   To grunt (of pigs and yaks) ; For a yak or dri to make a sound ; To grunt (used of pigs and cattle) ;
ngur	 verb-fut 	ngur	Intransitive:  Involuntary:   To grunt (of pigs and yaks) ; For a yak or dri to make a sound ; To grunt (used of pigs and cattle) ;
nger	 verb-pres 	nger	Transitive: Involuntary:   To growl, to snarl, to roar (used of dogs and so forth) ;
nger	 verb-past 	nger	Transitive: Involuntary:   To growl, to snarl, to roar (used of dogs and so forth) ;
nger	 verb-fut 	nger	Transitive: Involuntary:   To growl, to snarl, to roar (used of dogs and so forth) ;
nges	 verb-pres 	nges	Intransitive:  Involuntary:   To be the sum of a mathematical calculation, i.e. to hold it as a certain result ; To be confirmed; to be certain ; 1. To hold in mind having come to know. 2. To decide, resolve ; To determine, to ascertain, to be certain; (preceded by a verb) will, would certainly do; must, ought to ;
nges	 verb-past 	nges	Intransitive:  Involuntary:   To be the sum of a mathematical calculation, i.e. to hold it as a certain result ; To be confirmed; to be certain ; 1. To hold in mind having come to know. 2. To decide, resolve ; To determine, to ascertain, to be certain; (preceded by a verb) will, would certainly do; must, ought to ;
nges	 verb-fut 	nges	Intransitive:  Involuntary:   To be the sum of a mathematical calculation, i.e. to hold it as a certain result ; To be confirmed; to be certain ; 1. To hold in mind having come to know. 2. To decide, resolve ; To determine, to ascertain, to be certain; (preceded by a verb) will, would certainly do; must, ought to ;
